a_i  	N_t         	N_i         	N_p         
3.070	4.794815e+06	4.793645e+06	1.170153e+03
3.080	4.822292e+06	4.821139e+06	1.153144e+03
3.090	4.849789e+06	4.848653e+06	1.136361e+03
3.100	4.877305e+06	4.876185e+06	1.119802e+03
3.110	4.904841e+06	4.903738e+06	1.103463e+03
3.120	4.932397e+06	4.931310e+06	1.087341e+03
3.130	4.959974e+06	4.958903e+06	1.071433e+03
3.140	4.987571e+06	4.986515e+06	1.055736e+03
3.150	5.015189e+06	5.014148e+06	1.040248e+03
3.160	5.042827e+06	5.041802e+06	1.024965e+03
3.170	5.070485e+06	5.069475e+06	1.009884e+03
3.180	5.098162e+06	5.097167e+06	9.950025e+02
3.190	5.125859e+06	5.124879e+06	9.803181e+02
3.200	5.153575e+06	5.152609e+06	9.658279e+02
3.210	5.181309e+06	5.180358e+06	9.515292e+02
3.220	5.209062e+06	5.208124e+06	9.374194e+02
3.230	5.236832e+06	5.235908e+06	9.234961e+02
3.240	5.264620e+06	5.263710e+06	9.097569e+02
3.250	5.292425e+06	5.291529e+06	8.961993e+02
3.260	5.320249e+06	5.319366e+06	8.828211e+02
3.270	5.348092e+06	5.347223e+06	8.696199e+02
3.280	5.375957e+06	5.375101e+06	8.565933e+02
3.290	5.403844e+06	5.403000e+06	8.437391e+02
3.300	5.431752e+06	5.430921e+06	8.310548e+02
3.310	5.459680e+06	5.458861e+06	8.185382e+02
3.320	5.487627e+06	5.486821e+06	8.061872e+02
3.330	5.515595e+06	5.514801e+06	7.939994e+02
3.340	5.543578e+06	5.542796e+06	7.819727e+02
3.350	5.571575e+06	5.570805e+06	7.701051e+02
3.360	5.599585e+06	5.598826e+06	7.583942e+02
3.370	5.627608e+06	5.626861e+06	7.468382e+02
3.380	5.655643e+06	5.654908e+06	7.354348e+02
3.390	5.683691e+06	5.682967e+06	7.241822e+02
3.400	5.711751e+06	5.711038e+06	7.130782e+02
3.410	5.739823e+06	5.739121e+06	7.021209e+02
3.420	5.767903e+06	5.767212e+06	6.913083e+02
3.430	5.795992e+06	5.795311e+06	6.806386e+02
3.440	5.824087e+06	5.823417e+06	6.701096e+02
3.450	5.852188e+06	5.851529e+06	6.597195e+02
3.460	5.880296e+06	5.879646e+06	6.494663e+02
3.470	5.908407e+06	5.907768e+06	6.393483e+02
3.480	5.936524e+06	5.935894e+06	6.293635e+02
3.490	5.964644e+06	5.964025e+06	6.195102e+02
3.500	5.992768e+06	5.992159e+06	6.097867e+02
3.510	6.020896e+06	6.020296e+06	6.001911e+02
3.520	6.049026e+06	6.048436e+06	5.907219e+02
3.530	6.077160e+06	6.076578e+06	5.813772e+02
3.540	6.105295e+06	6.104723e+06	5.721554e+02
3.550	6.133431e+06	6.132868e+06	5.630550e+02
3.560	6.161569e+06	6.161014e+06	5.540742e+02
3.570	6.189706e+06	6.189161e+06	5.452115e+02
3.580	6.217842e+06	6.217306e+06	5.364653e+02
3.590	6.245974e+06	6.245446e+06	5.278341e+02
3.600	6.274099e+06	6.273580e+06	5.193164e+02
3.610	6.302220e+06	6.301709e+06	5.109107e+02
3.620	6.330336e+06	6.329834e+06	5.026156e+02
3.630	6.358448e+06	6.357954e+06	4.944295e+02
3.640	6.386555e+06	6.386069e+06	4.863510e+02
3.650	6.414656e+06	6.414178e+06	4.783786e+02
3.660	6.442752e+06	6.442281e+06	4.705110e+02
3.670	6.470840e+06	6.470378e+06	4.627468e+02
3.680	6.498922e+06	6.498467e+06	4.550845e+02
3.690	6.526997e+06	6.526549e+06	4.475228e+02
3.700	6.555062e+06	6.554622e+06	4.400605e+02
3.710	6.583120e+06	6.582687e+06	4.326961e+02
3.720	6.611168e+06	6.610742e+06	4.254285e+02
3.730	6.639206e+06	6.638787e+06	4.182563e+02
3.740	6.667233e+06	6.666822e+06	4.111782e+02
3.750	6.695249e+06	6.694845e+06	4.041931e+02
3.760	6.723254e+06	6.722857e+06	3.972997e+02
3.770	6.751246e+06	6.750856e+06	3.904968e+02
3.780	6.779226e+06	6.778842e+06	3.837832e+02
3.790	6.807192e+06	6.806815e+06	3.771578e+02
3.800	6.835145e+06	6.834775e+06	3.706194e+02
3.810	6.863084e+06	6.862720e+06	3.641668e+02
3.820	6.891008e+06	6.890650e+06	3.577990e+02
3.830	6.918917e+06	6.918566e+06	3.515147e+02
3.840	6.946811e+06	6.946465e+06	3.453130e+02
3.850	6.974689e+06	6.974349e+06	3.391928e+02
3.860	7.002550e+06	7.002217e+06	3.331529e+02
3.870	7.030394e+06	7.030067e+06	3.271924e+02
3.880	7.058222e+06	7.057900e+06	3.213102e+02
3.890	7.086031e+06	7.085715e+06	3.155053e+02
3.900	7.113821e+06	7.113511e+06	3.097766e+02
3.910	7.141592e+06	7.141288e+06	3.041232e+02
3.920	7.169343e+06	7.169044e+06	2.985442e+02
3.930	7.197064e+06	7.196771e+06	2.930384e+02
3.940	7.224755e+06	7.224467e+06	2.876050e+02
3.950	7.252413e+06	7.252131e+06	2.822432e+02
3.960	7.280040e+06	7.279763e+06	2.769518e+02
3.970	7.307633e+06	7.307362e+06	2.717302e+02
3.980	7.335194e+06	7.334927e+06	2.665773e+02
3.990	7.362720e+06	7.362459e+06	2.614922e+02
4.000	7.390213e+06	7.389957e+06	2.564742e+02
4.010	7.417670e+06	7.417419e+06	2.515223e+02
4.020	7.445092e+06	7.444846e+06	2.466357e+02
4.030	7.472478e+06	7.472236e+06	2.418135e+02
4.040	7.499828e+06	7.499590e+06	2.370550e+02
4.050	7.527140e+06	7.526907e+06	2.323592e+02
4.060	7.554414e+06	7.554187e+06	2.277254e+02
4.070	7.581651e+06	7.581428e+06	2.231528e+02
4.080	7.608848e+06	7.608630e+06	2.186406e+02
4.090	7.636007e+06	7.635793e+06	2.141880e+02
4.100	7.663126e+06	7.662916e+06	2.097942e+02
4.110	7.690205e+06	7.689999e+06	2.054585e+02
4.120	7.717243e+06	7.717042e+06	2.011802e+02
4.130	7.744241e+06	7.744044e+06	1.969584e+02
4.140	7.771197e+06	7.771004e+06	1.927925e+02
4.150	7.798111e+06	7.797922e+06	1.886817e+02
4.160	7.824983e+06	7.824798e+06	1.846253e+02
4.170	7.851812e+06	7.851631e+06	1.806227e+02
4.180	7.878597e+06	7.878421e+06	1.766730e+02
4.190	7.905355e+06	7.905182e+06	1.727758e+02
4.200	7.932085e+06	7.931916e+06	1.689301e+02
4.210	7.958787e+06	7.958622e+06	1.651354e+02
4.220	7.985460e+06	7.985298e+06	1.613910e+02
4.230	8.012103e+06	8.011945e+06	1.576962e+02
4.240	8.038718e+06	8.038563e+06	1.540503e+02
4.250	8.065302e+06	8.065152e+06	1.504528e+02
4.260	8.091857e+06	8.091711e+06	1.469029e+02
4.270	8.118382e+06	8.118239e+06	1.434001e+02
4.280	8.144876e+06	8.144737e+06	1.399437e+02
4.290	8.171340e+06	8.171203e+06	1.365332e+02
4.300	8.197772e+06	8.197639e+06	1.331679e+02
4.310	8.224173e+06	8.224043e+06	1.298472e+02
4.320	8.250541e+06	8.250415e+06	1.265707e+02
4.330	8.276878e+06	8.276754e+06	1.233376e+02
4.340	8.303182e+06	8.303062e+06	1.201474e+02
4.350	8.329453e+06	8.329336e+06	1.169996e+02
4.360	8.355691e+06	8.355577e+06	1.138937e+02
4.370	8.381896e+06	8.381786e+06	1.108290e+02
4.380	8.408068e+06	8.407960e+06	1.078050e+02
4.390	8.434205e+06	8.434100e+06	1.048213e+02
4.400	8.460304e+06	8.460202e+06	1.018772e+02
4.410	8.486362e+06	8.486263e+06	9.897231e+01
4.420	8.512379e+06	8.512283e+06	9.610606e+01
4.430	8.538356e+06	8.538263e+06	9.327793e+01
4.440	8.564291e+06	8.564200e+06	9.048742e+01
4.450	8.590185e+06	8.590097e+06	8.773404e+01
4.460	8.616037e+06	8.615952e+06	8.501730e+01
4.470	8.641846e+06	8.641764e+06	8.233671e+01
4.480	8.667614e+06	8.667534e+06	7.969180e+01
4.490	8.693339e+06	8.693262e+06	7.708211e+01
4.500	8.719021e+06	8.718946e+06	7.450718e+01
4.510	8.744660e+06	8.744588e+06	7.196655e+01
4.520	8.770256e+06	8.770187e+06	6.945977e+01
4.530	8.795808e+06	8.795741e+06	6.698641e+01
4.540	8.821317e+06	8.821252e+06	6.454603e+01
4.550	8.846781e+06	8.846718e+06	6.213819e+01
4.560	8.872200e+06	8.872140e+06	5.976248e+01
4.570	8.897575e+06	8.897517e+06	5.741848e+01
4.580	8.922908e+06	8.922853e+06	5.510577e+01
4.590	8.948204e+06	8.948151e+06	5.282396e+01
4.600	8.973463e+06	8.973412e+06	5.057264e+01
4.610	8.998684e+06	8.998636e+06	4.835145e+01
4.620	9.023868e+06	9.023822e+06	4.615999e+01
4.630	9.049015e+06	9.048971e+06	4.399788e+01
4.640	9.074123e+06	9.074082e+06	4.186476e+01
4.650	9.099194e+06	9.099155e+06	3.976023e+01
4.660	9.124227e+06	9.124190e+06	3.768395e+01
4.670	9.149222e+06	9.149186e+06	3.563555e+01
4.680	9.174178e+06	9.174145e+06	3.361466e+01
4.690	9.199096e+06	9.199064e+06	3.162094e+01
4.700	9.223975e+06	9.223945e+06	2.965403e+01
4.710	9.248815e+06	9.248787e+06	2.771359e+01
4.720	9.273615e+06	9.273589e+06	2.579927e+01
4.730	9.298376e+06	9.298352e+06	2.391075e+01
4.740	9.323098e+06	9.323075e+06	2.204767e+01
4.750	9.347779e+06	9.347759e+06	2.020973e+01
4.760	9.372422e+06	9.372403e+06	1.839658e+01
4.770	9.397024e+06	9.397007e+06	1.660792e+01
4.780	9.421586e+06	9.421571e+06	1.484342e+01
4.790	9.446108e+06	9.446095e+06	1.310278e+01
4.800	9.470590e+06	9.470579e+06	1.138567e+01
4.810	9.495031e+06	9.495022e+06	9.691806e+00
4.820	9.519432e+06	9.519424e+06	8.020876e+00
4.830	9.543791e+06	9.543785e+06	6.372586e+00
4.840	9.568110e+06	9.568105e+06	4.746641e+00
4.850	9.592387e+06	9.592384e+06	3.142752e+00
4.860	9.616624e+06	9.616622e+06	1.560632e+00
4.870	9.640821e+06	9.640819e+06	1.539425e+00
4.880	9.664976e+06	9.664974e+06	1.518492e+00
4.890	9.689090e+06	9.689088e+06	1.497832e+00
4.900	9.713162e+06	9.713160e+06	1.477441e+00
4.910	9.737192e+06	9.737191e+06	1.457314e+00
4.920	9.761180e+06	9.761179e+06	1.437450e+00
4.930	9.785127e+06	9.785125e+06	1.417844e+00
4.940	9.809031e+06	9.809029e+06	1.398494e+00
4.950	9.832893e+06	9.832891e+06	1.379395e+00
