a_i  	N_t         	N_i         	N_p         	N_a         
1.960	3.490053e+05	3.481426e+05	8.626903e+02	1.349512e+04
1.970	3.515589e+05	3.507089e+05	8.500105e+02	1.350780e+04
1.980	3.541101e+05	3.532726e+05	8.374963e+02	1.352031e+04
1.990	3.566582e+05	3.558331e+05	8.251457e+02	1.353266e+04
2.000	3.592024e+05	3.583894e+05	8.129564e+02	1.354485e+04
2.010	3.617416e+05	3.609407e+05	8.009263e+02	1.355688e+04
2.020	3.642749e+05	3.634858e+05	7.890534e+02	1.356876e+04
2.030	3.668007e+05	3.660233e+05	7.773355e+02	1.358047e+04
2.040	3.693189e+05	3.685532e+05	7.657705e+02	1.359204e+04
2.050	3.718290e+05	3.710746e+05	7.543565e+02	1.360345e+04
2.060	3.743299e+05	3.735868e+05	7.430912e+02	1.361472e+04
2.070	3.768215e+05	3.760895e+05	7.319725e+02	1.362584e+04
2.080	3.793036e+05	3.785827e+05	7.209987e+02	1.363681e+04
2.090	3.817762e+05	3.810661e+05	7.101677e+02	1.364764e+04
2.100	3.842388e+05	3.835393e+05	6.994775e+02	1.365833e+04
2.110	3.866908e+05	3.860019e+05	6.889264e+02	1.366888e+04
2.120	3.891320e+05	3.884535e+05	6.785125e+02	1.367930e+04
2.130	3.915621e+05	3.908938e+05	6.682340e+02	1.368958e+04
2.140	3.939804e+05	3.933223e+05	6.580891e+02	1.369972e+04
2.150	3.963861e+05	3.957380e+05	6.480762e+02	1.370973e+04
2.160	3.987785e+05	3.981404e+05	6.381935e+02	1.371962e+04
2.170	4.011572e+05	4.005287e+05	6.284395e+02	1.372937e+04
2.180	4.035217e+05	4.029029e+05	6.188126e+02	1.373900e+04
2.190	4.058726e+05	4.052633e+05	6.093110e+02	1.374850e+04
2.200	4.082102e+05	4.076102e+05	5.999332e+02	1.375788e+04
2.210	4.105345e+05	4.099438e+05	5.906774e+02	1.376713e+04
2.220	4.128457e+05	4.122642e+05	5.815418e+02	1.377627e+04
2.230	4.151441e+05	4.145715e+05	5.725249e+02	1.378528e+04
2.240	4.174296e+05	4.168660e+05	5.636251e+02	1.379418e+04
2.250	4.197022e+05	4.191474e+05	5.548407e+02	1.380297e+04
2.260	4.219618e+05	4.214157e+05	5.461702e+02	1.381164e+04
2.270	4.242080e+05	4.236704e+05	5.376120e+02	1.382020e+04
2.280	4.264404e+05	4.259112e+05	5.291648e+02	1.382864e+04
2.290	4.286591e+05	4.281383e+05	5.208272e+02	1.383698e+04
2.300	4.308643e+05	4.303517e+05	5.125977e+02	1.384521e+04
2.310	4.330561e+05	4.325516e+05	5.044750e+02	1.385333e+04
2.320	4.352349e+05	4.347385e+05	4.964578e+02	1.386135e+04
2.330	4.374013e+05	4.369127e+05	4.885447e+02	1.386926e+04
2.340	4.395553e+05	4.390746e+05	4.807342e+02	1.387707e+04
2.350	4.416972e+05	4.412242e+05	4.730250e+02	1.388478e+04
2.360	4.438273e+05	4.433619e+05	4.654157e+02	1.389239e+04
2.370	4.459456e+05	4.454877e+05	4.579050e+02	1.389990e+04
2.380	4.480525e+05	4.476020e+05	4.504916e+02	1.390732e+04
2.390	4.501481e+05	4.497049e+05	4.431742e+02	1.391463e+04
2.400	4.522326e+05	4.517966e+05	4.359515e+02	1.392186e+04
2.410	4.543063e+05	4.538775e+05	4.288222e+02	1.392899e+04
2.420	4.563696e+05	4.559478e+05	4.217851e+02	1.393602e+04
2.430	4.584226e+05	4.580077e+05	4.148391e+02	1.394297e+04
2.440	4.604656e+05	4.600576e+05	4.079828e+02	1.394983e+04
2.450	4.624992e+05	4.620980e+05	4.012152e+02	1.395659e+04
2.460	4.645236e+05	4.641291e+05	3.945350e+02	1.396327e+04
2.470	4.665387e+05	4.661508e+05	3.879410e+02	1.396987e+04
2.480	4.685450e+05	4.681635e+05	3.814322e+02	1.397638e+04
2.490	4.705426e+05	4.701676e+05	3.750074e+02	1.398280e+04
2.500	4.725319e+05	4.721632e+05	3.686656e+02	1.398914e+04
2.510	4.745132e+05	4.741508e+05	3.624057e+02	1.399540e+04
2.520	4.764867e+05	4.761305e+05	3.562265e+02	1.400158e+04
2.530	4.784529e+05	4.781028e+05	3.501271e+02	1.400768e+04
2.540	4.804121e+05	4.800680e+05	3.441064e+02	1.401370e+04
2.550	4.823648e+05	4.820267e+05	3.381633e+02	1.401965e+04
2.560	4.843113e+05	4.839790e+05	3.322969e+02	1.402551e+04
2.570	4.862520e+05	4.859254e+05	3.265061e+02	1.403130e+04
2.580	4.881870e+05	4.878662e+05	3.207899e+02	1.403702e+04
2.590	4.901167e+05	4.898016e+05	3.151474e+02	1.404266e+04
2.600	4.920414e+05	4.917318e+05	3.095776e+02	1.404823e+04
2.610	4.939613e+05	4.936572e+05	3.040794e+02	1.405373e+04
2.620	4.958767e+05	4.955781e+05	2.986521e+02	1.405916e+04
2.630	4.977879e+05	4.974946e+05	2.932946e+02	1.406451e+04
2.640	4.996950e+05	4.994070e+05	2.880060e+02	1.406980e+04
2.650	5.015982e+05	5.013154e+05	2.827855e+02	1.407502e+04
2.660	5.034979e+05	5.032202e+05	2.776320e+02	1.408018e+04
2.670	5.053941e+05	5.051216e+05	2.725448e+02	1.408526e+04
2.680	5.072872e+05	5.070197e+05	2.675230e+02	1.409029e+04
2.690	5.091774e+05	5.089148e+05	2.625657e+02	1.409524e+04
2.700	5.110649e+05	5.108072e+05	2.576721e+02	1.410014e+04
2.710	5.129498e+05	5.126969e+05	2.528414e+02	1.410497e+04
2.720	5.148326e+05	5.145845e+05	2.480727e+02	1.410974e+04
2.730	5.167134e+05	5.164701e+05	2.433652e+02	1.411444e+04
2.740	5.185924e+05	5.183537e+05	2.387181e+02	1.411909e+04
2.750	5.204698e+05	5.202356e+05	2.341306e+02	1.412368e+04
2.760	5.223455e+05	5.221159e+05	2.296019e+02	1.412821e+04
2.770	5.242196e+05	5.239945e+05	2.251312e+02	1.413268e+04
2.780	5.260918e+05	5.258711e+05	2.207179e+02	1.413709e+04
2.790	5.279621e+05	5.277458e+05	2.163610e+02	1.414145e+04
2.800	5.298310e+05	5.296190e+05	2.120601e+02	1.414575e+04
2.810	5.316986e+05	5.314908e+05	2.078142e+02	1.414999e+04
2.820	5.335650e+05	5.333614e+05	2.036228e+02	1.415419e+04
2.830	5.354303e+05	5.352308e+05	1.994850e+02	1.415832e+04
2.840	5.372944e+05	5.370990e+05	1.954003e+02	1.416241e+04
2.850	5.391575e+05	5.389661e+05	1.913679e+02	1.416644e+04
2.860	5.410193e+05	5.408319e+05	1.873871e+02	1.417042e+04
2.870	5.428799e+05	5.426964e+05	1.834572e+02	1.417435e+04
2.880	5.447392e+05	5.445597e+05	1.795777e+02	1.417823e+04
2.890	5.465975e+05	5.464218e+05	1.757479e+02	1.418206e+04
2.900	5.484547e+05	5.482828e+05	1.719670e+02	1.418584e+04
2.910	5.503111e+05	5.501428e+05	1.682346e+02	1.418957e+04
2.920	5.521666e+05	5.520021e+05	1.645499e+02	1.419326e+04
