a_i  	N_t         	N_i         	N_p         
3.510	2.233104e+07	2.233012e+07	9.206839e+02
3.520	2.234246e+07	2.234156e+07	9.066676e+02
3.530	2.235370e+07	2.235281e+07	8.928488e+02
3.540	2.236475e+07	2.236387e+07	8.792247e+02
3.550	2.237561e+07	2.237475e+07	8.657924e+02
3.560	2.238629e+07	2.238544e+07	8.525490e+02
3.570	2.239679e+07	2.239595e+07	8.394920e+02
3.580	2.240710e+07	2.240627e+07	8.266185e+02
3.590	2.241723e+07	2.241642e+07	8.139258e+02
3.600	2.242718e+07	2.242638e+07	8.014115e+02
3.610	2.243696e+07	2.243617e+07	7.890728e+02
3.620	2.244655e+07	2.244577e+07	7.769073e+02
3.630	2.245597e+07	2.245520e+07	7.649124e+02
3.640	2.246521e+07	2.246445e+07	7.530858e+02
3.650	2.247428e+07	2.247354e+07	7.414249e+02
3.660	2.248319e+07	2.248246e+07	7.299274e+02
3.670	2.249195e+07	2.249123e+07	7.185909e+02
3.680	2.250056e+07	2.249985e+07	7.074130e+02
3.690	2.250900e+07	2.250831e+07	6.963915e+02
3.700	2.251728e+07	2.251659e+07	6.855241e+02
3.710	2.252539e+07	2.252472e+07	6.748086e+02
3.720	2.253334e+07	2.253267e+07	6.642429e+02
3.730	2.254112e+07	2.254047e+07	6.538248e+02
3.740	2.254874e+07	2.254810e+07	6.435522e+02
3.750	2.255620e+07	2.255557e+07	6.334230e+02
3.760	2.256350e+07	2.256287e+07	6.234352e+02
3.770	2.257063e+07	2.257002e+07	6.135868e+02
3.780	2.257761e+07	2.257701e+07	6.038758e+02
3.790	2.258443e+07	2.258383e+07	5.943003e+02
3.800	2.259109e+07	2.259050e+07	5.848584e+02
3.810	2.259759e+07	2.259702e+07	5.755480e+02
3.820	2.260394e+07	2.260338e+07	5.663675e+02
3.830	2.261014e+07	2.260958e+07	5.573149e+02
3.840	2.261618e+07	2.261563e+07	5.483884e+02
3.850	2.262207e+07	2.262153e+07	5.395863e+02
3.860	2.262781e+07	2.262728e+07	5.309068e+02
3.870	2.263340e+07	2.263288e+07	5.223482e+02
3.880	2.263885e+07	2.263833e+07	5.139087e+02
3.890	2.264414e+07	2.264364e+07	5.055867e+02
3.900	2.264930e+07	2.264880e+07	4.973805e+02
3.910	2.265431e+07	2.265382e+07	4.892885e+02
3.920	2.265917e+07	2.265869e+07	4.813091e+02
3.930	2.266389e+07	2.266342e+07	4.734407e+02
3.940	2.266847e+07	2.266800e+07	4.656818e+02
3.950	2.267290e+07	2.267245e+07	4.580307e+02
3.960	2.267720e+07	2.267675e+07	4.504861e+02
3.970	2.268136e+07	2.268091e+07	4.430464e+02
3.980	2.268537e+07	2.268494e+07	4.357101e+02
3.990	2.268925e+07	2.268882e+07	4.284758e+02
4.000	2.269299e+07	2.269257e+07	4.213420e+02
4.010	2.269660e+07	2.269618e+07	4.143075e+02
4.020	2.270008e+07	2.269967e+07	4.073707e+02
4.030	2.270345e+07	2.270305e+07	4.005303e+02
4.040	2.270671e+07	2.270632e+07	3.937849e+02
4.050	2.270987e+07	2.270949e+07	3.871333e+02
4.060	2.271295e+07	2.271257e+07	3.805739e+02
4.070	2.271593e+07	2.271556e+07	3.741055e+02
4.080	2.271883e+07	2.271846e+07	3.677269e+02
4.090	2.272164e+07	2.272127e+07	3.614367e+02
4.100	2.272436e+07	2.272400e+07	3.552337e+02
4.110	2.272699e+07	2.272664e+07	3.491166e+02
4.120	2.272954e+07	2.272919e+07	3.430843e+02
4.130	2.273200e+07	2.273166e+07	3.371355e+02
4.140	2.273437e+07	2.273404e+07	3.312692e+02
4.150	2.273666e+07	2.273634e+07	3.254840e+02
4.160	2.273887e+07	2.273855e+07	3.197790e+02
4.170	2.274099e+07	2.274067e+07	3.141530e+02
4.180	2.274302e+07	2.274271e+07	3.086048e+02
4.190	2.274498e+07	2.274467e+07	3.031334e+02
4.200	2.274685e+07	2.274655e+07	2.977377e+02
4.210	2.274864e+07	2.274834e+07	2.924168e+02
4.220	2.275035e+07	2.275006e+07	2.871694e+02
4.230	2.275197e+07	2.275169e+07	2.819947e+02
4.240	2.275351e+07	2.275324e+07	2.768916e+02
4.250	2.275497e+07	2.275469e+07	2.718591e+02
4.260	2.275633e+07	2.275607e+07	2.668963e+02
4.270	2.275761e+07	2.275735e+07	2.620021e+02
4.280	2.275881e+07	2.275855e+07	2.571757e+02
4.290	2.275991e+07	2.275966e+07	2.524161e+02
4.300	2.276094e+07	2.276069e+07	2.477224e+02
4.310	2.276188e+07	2.276164e+07	2.430937e+02
4.320	2.276274e+07	2.276250e+07	2.385291e+02
4.330	2.276351e+07	2.276328e+07	2.340277e+02
4.340	2.276420e+07	2.276397e+07	2.295886e+02
4.350	2.276481e+07	2.276459e+07	2.252110e+02
4.360	2.276534e+07	2.276512e+07	2.208941e+02
4.370	2.276579e+07	2.276557e+07	2.166369e+02
4.380	2.276615e+07	2.276594e+07	2.124388e+02
4.390	2.276644e+07	2.276623e+07	2.082988e+02
4.400	2.276665e+07	2.276644e+07	2.042162e+02
4.410	2.276678e+07	2.276658e+07	2.001902e+02
4.420	2.276683e+07	2.276663e+07	1.962200e+02
4.430	2.276680e+07	2.276660e+07	1.923048e+02
4.440	2.276669e+07	2.276650e+07	1.884440e+02
4.450	2.276651e+07	2.276632e+07	1.846367e+02
4.460	2.276624e+07	2.276606e+07	1.808822e+02
4.470	2.276589e+07	2.276571e+07	1.771798e+02
4.480	2.276545e+07	2.276528e+07	1.735289e+02
4.490	2.276493e+07	2.276476e+07	1.699286e+02
4.500	2.276433e+07	2.276417e+07	1.663783e+02
4.510	2.276365e+07	2.276349e+07	1.628773e+02
4.520	2.276288e+07	2.276272e+07	1.594250e+02
4.530	2.276204e+07	2.276188e+07	1.560206e+02
4.540	2.276111e+07	2.276096e+07	1.526636e+02
4.550	2.276010e+07	2.275995e+07	1.493533e+02
4.560	2.275902e+07	2.275887e+07	1.460890e+02
4.570	2.275785e+07	2.275771e+07	1.428701e+02
4.580	2.275661e+07	2.275647e+07	1.396960e+02
4.590	2.275529e+07	2.275515e+07	1.365661e+02
4.600	2.275389e+07	2.275375e+07	1.334798e+02
4.610	2.275241e+07	2.275228e+07	1.304365e+02
4.620	2.275086e+07	2.275073e+07	1.274356e+02
4.630	2.274922e+07	2.274910e+07	1.244765e+02
4.640	2.274752e+07	2.274740e+07	1.215587e+02
4.650	2.274574e+07	2.274562e+07	1.186816e+02
4.660	2.274388e+07	2.274376e+07	1.158446e+02
4.670	2.274195e+07	2.274183e+07	1.130472e+02
4.680	2.273994e+07	2.273983e+07	1.102888e+02
4.690	2.273786e+07	2.273776e+07	1.075690e+02
4.700	2.273571e+07	2.273561e+07	1.048872e+02
4.710	2.273349e+07	2.273338e+07	1.022428e+02
4.720	2.273119e+07	2.273109e+07	9.963541e+01
4.730	2.272882e+07	2.272872e+07	9.706448e+01
4.740	2.272638e+07	2.272629e+07	9.452952e+01
4.750	2.272389e+07	2.272380e+07	9.203004e+01
4.760	2.272137e+07	2.272128e+07	8.956554e+01
4.770	2.271881e+07	2.271872e+07	8.713554e+01
4.780	2.271621e+07	2.271612e+07	8.473955e+01
4.790	2.271358e+07	2.271349e+07	8.237711e+01
4.800	2.271091e+07	2.271083e+07	8.004775e+01
4.810	2.270820e+07	2.270812e+07	7.775102e+01
4.820	2.270546e+07	2.270538e+07	7.548647e+01
4.830	2.270268e+07	2.270261e+07	7.325366e+01
4.840	2.269987e+07	2.269980e+07	7.105214e+01
4.850	2.269702e+07	2.269695e+07	6.888150e+01
4.860	2.269414e+07	2.269407e+07	6.674130e+01
4.870	2.269122e+07	2.269116e+07	6.463114e+01
4.880	2.268827e+07	2.268821e+07	6.255059e+01
4.890	2.268528e+07	2.268522e+07	6.049926e+01
4.900	2.268227e+07	2.268221e+07	5.847674e+01
4.910	2.267921e+07	2.267916e+07	5.648264e+01
4.920	2.267613e+07	2.267607e+07	5.451658e+01
4.930	2.267301e+07	2.267296e+07	5.257815e+01
4.940	2.266986e+07	2.266980e+07	5.066700e+01
4.950	2.266667e+07	2.266662e+07	4.878274e+01
4.960	2.266345e+07	2.266341e+07	4.692501e+01
4.970	2.266020e+07	2.266016e+07	4.509344e+01
